pubdate,views,dislikes,likes,key,duration,id,mult,title,nb_recommendations,depth,recommendations,channel
2016-02-13,302278,155,2046,['1ijfhg'],270,QZKx26irnFo,0.153159931782702,Marco Rubio and Ted Cruz's fiery clash on immigration,32,1,"['Un3OhYs-tCE', 'L00B4MeziiI', 'jILC6cWkGTA', 'v9L-prXogME', 'Uk2Dp4tYo8M', 'XojPKzDyZ30', '-IW6PwJYcOc', 'cOOs-ft7S2c', 'efTm9eZ1qvM', 'CkdpzRDxTXU', 'KQrxsh1HQCs', 'LGHlZ9deXNo', 'Y4fjA0K2EeE', 'H4ThZcq1oJQ', 'g-95slpIMAE', 'GzPIbX1pzDg', '0V1LcpsNDfg', 'z48rAe-XT_M', 'U2zjsh5noOw', 'INRdArOAQus']",CBSN
2017-09-22,113146,34,1141,"['1bhjjd', '1ecbjd', '1edjjd', '1gdjjd']",2193,4XP9g-vLlpk,0.215381154069424,EXTREME DOUBLES MATCHPLAY -  CONWY GC PART 1,45,1,"['ls_r08j8i28', 'dx7vECk2feE', 'ixMj1cpx6Xs', 'MyoD5bMVlJU', 'Sl9_xkkwRDA', 'KMp6GvqtPCU', 'ze4AOXjWF3c', 'z3GeguVo6ho', 'W7HZZH41KNw', '7DlpdfiS7bg', '0DgqYrfp7ZU', '2iRgeJ-LOUM', 'p-uQRrGpsGc', 'tuO5ZWZUMyM', 'jS1szidpHJo', 'ypcqb5gVy70', 'ISJspiRiGXA', 'kS-dIaKJ0ro', 'pNkr78Hgg-E']",Rick Shiels Golf
,-1,-1,-1,['1iggif'],-1,EElCj8NjGxo,0.038289982945675004,,8,1,[],
,-1,-1,-1,"['1aaabg', '1aabg', '1aacbg', '1abbbg', '1abcbg', '1abg', '1abibg', '1abjbg', '1acabg', '1acbbg', '1acibg', '1adabg', '1adgbg', '1adjbg', '1agibg', '1ahfbg', '1aiejf', '1aifbg', '1aihdg', '1ajbdg', '1ajfbg', '1baibg', '1bbabg', '1bbbg', '1bbcbg', '1bbdbg', '1bbibg', '1bbjbg', '1bcabg', '1bcbg', '1bccbg', '1bcdbg', '1bcebg', '1bcfbg', '1bcgbg', '1bchbg', '1bcjbg', '1bdbbg', '1bdejf', '1bdjbg', '1behhg', '1bg', '1biabg', '1bibg', '1bichg', '1bidbg', '1bigbg', '1biibg', '1bjabg', '1bjbg', '1bjcbg', '1bjebg', '1bjgbg', '1bjhbg', '1bjibg', '1bjicd', '1caabg', '1cabg', '1cbbbg', '1cbcbg', '1cbg', '1cbibg', '1cbjbg', '1ccabg', '1ccbg', '1cccbg', '1cdabg', '1cdgbg', '1cdjbg', '1cffbg', '1chbbg', '1cibdg', '1ciebg', '1cjebg', '1daabg', '1dabg', '1dbabg', '1dbbg', '1dbcbg', '1dcgbg', '1ddabg', '1ddgbg', '1ddjbg', '1defbg', '1dfbdg', '1dffbg', '1dhgbg', '1diabg', '1dibg', '1dicbg', '1djibg', '1ebhbg', '1eecbg', '1eehbg', '1ehbbg', '1ehejf', '1ehjbg', '1eiabg', '1eibg', '1eicbg', '1eidbg', '1eiibg', '1eijbg', '1ejejf', '1fcibg', '1fefbg', '1feibg', '1ffabg', '1ffbg', '1fghbg', '1fjfbg', '1gaibg', '1gcbbg', '1gcejf', '1gcjbg', '1gejf', '1gfabg', '1gfbg', '1gffjf', '1gfgbg', '1gfhbg', '1gfjbg', '1ggcjf', '1ghdg', '1ghfbg', '1giajf', '1gifej', '1gigbg', '1gjcjf', '1gjhbg', '1haabg', '1habg', '1hcfbg', '1hehbg', '1hfabg', '1hfbbg', '1hfibg', '1hgabg', '1hgbg', '1hgcbg', '1hjabg', '1hjbg', '1hjcbg', '1iaabg', '1iagbg', '1iajbg', '1icfbg', '1icibg', '1iebbg', '1iehbg', '1ihfbg', '1iibdg', '1iifbg', '1ijabg', '1ijbbg', '1jaabg', '1jagbg', '1jajbg', '1jcibg', '1jebdg', '1jghbg']",-1,qW8YCvrCjrU,6.432717134873493,,1344,1,[],
2020-04-14,759325,216,11828,"['1aggja', '1bagja', '1bjfja', '1djgja', '1egja', '1egjdg', '1fcgja', '1gagja']",267,5_DoQK7CDq0,0.47383853895273503,John Oliver Appreciates Dr. Fauci’s Discipline While Working with Trump,99,1,"['DuzEd1EbT88', '0vgOzy0Mfsw', 'PimUn_CUOOA', 'dRFbwjwQ4VE', 'aeT3YOYsvMs', 'Zf7J-Eh0xow', 'j7zZBM1vmT0', '8A3jiM2FNR8', '_066dEkycr4', 'UnSILVWDKL8', 'DVIZb_dxgVY', 'F5pgG1M_h_U', 'LZ_l0z2LMws', '6s4Bx7mzNkM', 'Kw-yT72tnVM', '1d3QLPdHysc', 'RchxKfRP2Ww', 'LcHvDJz8fUM', 'PpV_5-tCS-c', 'krcHpMdOVAk']",Late Night with Seth Meyers
2020-02-29,2593772,1513,58359,['1jibch'],502,jRLH8E_CpP0,0.038289982945675004,John Mulaney Monologue - SNL,8,1,"['-mSGwndFMp8', 'BNlyZSvsNjw', 'MfTv8dwGpwI', 'zGf6CGBbWFU', 'kTzmVgGG5Bw', 'yzh7RtIJKZk', '0w2TBJd1Wvo', '1vpzyzfQdsI', '1MBjJMMKASQ', 'en5_JrcSTcU', 'dd_sQEJh-ig', '--IS0XiNdpk', 'ButlizwQXnU', 'oPtdLdw5sQM', '6d7Vk_qaiB8', 'KL_dhpvb-ZM', 'gY49ZXj3L-0', 'LM0V_m3N7I0']",Saturday Night Live
2020-04-20,380362,526,9746,['1bifhi'],612,0WKp9HQZsn4,0.076579965891351,The Australian people 'are over China',16,1,"['nJHQ_qre5FE', 'MHTjfFCa_-g', 'xaEJfBKh-7A', 'uvCZiuqt5f4', 'KZ-tCc3S8V8', 'T8tJqoxTJ_M', 'aA-GoeFGyIc', 'wa8b117uWEM', 'b07eafPe7pY', '9MToeOwrWlQ', 'j0IOQ9oLpjA', '6WyRdz1Ix64', 'X0e5teu2Vm0', '7h9n8W1qqDo', 'dk937OZnTXM', 'nGHmk4UeK_w', 'k0Aom98-Jl0', 't-axd1Ht_J8', '1lwq9zi_iEc', 'FlHMtU7t_Y0']",Sky News Australia
2020-02-05,1174155,494,9530,['1jecge'],698,Suxm7LUTunU,0.033503735077466006,Kobe Bryant vs Michael Jordan Highlights (1998.02.01) - 51pts All! Kobe Killing Pippen!,7,1,"['-19hK8TF-GY', 'v6HbOIISYao', 'LkmrGunCKC0', 'Tp7VyzrbYpM', 'wQqjvCdQrFE', '9RfP2KCWVlI', 'BBUGUHSKhsw', 'UVBgfCoVHSU', '29LWlJ1tEqM', 'npZYUkXFqd4', 'LAr6oAKieHk', 'IQX-UGea3Cg', 'Zw7Qxy6aKeY', '7c52uFUu1TQ', '3M2NCcSxKLY', 'lI8cYx64U0k', 's3WG_W3dCOI', 'w9_8drWyoRw', 'pi1MQ3SsWwY']",MJ23 His Airness Forever
2019-10-10,4828294,2313,84030,"['1idied', '1igadf', '1igfcg', '1jicdf', '1jicig']",583,80ULDtPkUQg,0.430762308138849,"""Overbooking Business Class"" - Trevor Noah - (Crazy Normal)",90,1,"['YAr7O8-iRgQ', 'NvLtjOiMDYE', 'Yphxh5L8YbQ', 'b3ZjhNG_BrM', 'EFxNtTks9VU', 'Ms6W9zgjN9E', 'TBau85UzUFI', 'M3Rde73r8cQ', 'F_7QXlXpytM', 'L3SIdXPtB0M', 'NxFkEj7KPC0', 'EEjZ0Gh_y8I', 'ux8GZAtCN-M', 'B50sVK_VT4A', 'r5yCk6Qpuv4', 'XRVXhZckSa8', '_5y84mbKXVA', '32Ll5oE9kwg', 'KxoktuehP3c']",Trevor Noah
,-1,-1,-1,"['1fgffe', '1heffe', '1jgffe']",-1,H_lgfb7FQ0Y,0.08615246162777,,18,1,[],
