channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
TEDx Talks,1,2714,1372,HEfpxiUIZPs,[],19423,0.6750663129973471,4,2014-03-11,"['n9u-TITxwoM', 'hqKafI7Amd8', 'EBebWBjpWIQ', '5WtQqKrbmKc', 'BrNs0M77Pd4', 'urKhVssiygA', 'B7UVfqtfQBc', 'NXhddUqNNjo', '41TPZWAgPoM', 'gn4bvjMh4vc', 'Lp7BL-UI0Rw', 'v-JxeTd8kAw', 'm2-I5HUwfRg', 'LVgzOyHVcj4', 'Fqw-9yMV0sI', 'xp0O2vi8DX4', 'Chfoo9NBEow', 'M7hOpT0lPGI', 'lvxJoUuG018', 'lo0X2ZdElQ4']",8 ways the world could suddenly end: Stephen Petranek at TEDxMidwest,2441950
Fox News,2,7214,361,f0KMz_AUBFM,[],73082,1.012599469496021,6,2017-02-10,"['L5EHxsuPSl8', '3gjPFelN1vY', '6Af6b_wyiwI', 'BWO6i8cH8SA', 'pHQWezK1ccY', '-avpx8UTakI', 'Y7nZ4mw4mXw', 'iDelUkpFm60', '7jx0dTYUO5E', '6FVJlNdr0ho', 'WmVEHct6r_g', 'c09m5f7Gnic', 'ltYIIXJTKEc', 'Mn1sBfIlUjY', 'VQOOxOl9l80', 'PPySn3slfXI', 'LVgzOyHVcj4', 'h8IEtlOVzq4', 'Fqw-9yMV0sI', 'MwP6J3t19PY']",Retired Marine's message about travel ban goes viral,3463213
Guardian Supporters,1,2496,5486,_hfMNTnBM4I,[],26233,1.856432360742705,11,2017-01-03,"['dEsWOZjjVt8', 'NxFkEj7KPC0', 'MPb1VNt2EOo', 'QlaeirHJpns', '_5y84mbKXVA', 'SWVZOGMoQqw', '_AB1mxhd_H8', 's6MwGeOm8iI', '7vU7RuBi4Gs', 'SnMBYMOTwEs', 'OTWkeN2Gyz8', 'L3SIdXPtB0M', 'd5SXQ_zb1XQ', 'di6YNrCWGIg', 'G_kMOVS1qY8', 'njfl_bwFBoI', '6wplEAkNXow', 'rs2RlZQVXBU', 'KVcmdJ-5e7M', 'OvFtAeINYG0']",Trevor Noah interview for Guardian Live – full video,4768348
NFL Films,1,594,2343,WCHYZ_NtXZ8,[],8789,0.16876657824933602,1,2017-04-25,"['BfubdVY4vg4', 'mFuEpMzClZk', 'o5fdhfVrg1I', 'EGgnEIX5f4E', 'C68pNP2GCA0', 'ZQ-rP0zYvsA', 'aSYLnPNPCuA', '9YH4ma6G3S4', '9aG7eAXgVcE', 'dw4cUVFMVEA', 'fPKb-LaK8mM', 'mei63AKPgn4', 'wQKNkk5b8s4', 'hiETwrSv6xo', 'DU4ixszoHHc', '_OILuF8Tvo8', 'f70ukNeoOUA', 'Lwbm29CrBNE', 'rtYCZSLLWdo']",Top 10 NFL Draft Trades of All Time | NFL Films,2125671
LastWeekTonight,1,54634,1128,qVIXUhZ2AWs,[],314714,0.33753315649867305,2,2020-02-23,"['Bchx0mS7XOY', 'hnoMsftQPY8', 'qqZ_SH9N3Xo', 'BWO6i8cH8SA', 'jCC8fPQOaxU', 'ximgPmJ9A5s', 'mS9CFBlLOcg', 'ux8GZAtCN-M', '_066dEkycr4', 'QPxl_N9vkSo', '-9QYu8LtH2E', 'etkd57lPfPU', 'J2Qq-RPYb_I', 'd9m7d07k22A', '4NNpkv3Us1I', 'c09m5f7Gnic', 'JDcro7dPqpA', 'm8UQ4O7UiDs', 'Nuzi7LlSDVo', 'X9wHzt6gBgI']",Modi: Last Week Tonight with John Oliver (HBO),8979346
"The Economic Club of Washington, D.C.",2,-1,4238,zN1PyNwjHpc,[],-1,2.362732095490716,14,2018-09-20,['xv_vkA0jsyo'],"Jeff Bezos, CEO and Founder, Amazon",-1
MSNBC,1,133,369,_cLnDBWi9cY,[],2186,1.5188992042440321,9,2020-03-19,"['7anlrWq8lyo', 'L5EHxsuPSl8', '6Af6b_wyiwI', 'GPVGoKPjNgA', 'jSDj9E2dgWs', 'IBsefkZjNW0', '96mGu-Xmjjo', 'RbQjqSvL1YE', 'BUZzrUZmIkY', 'X9wHzt6gBgI', 'UDY5COg2P2c', 'LPXBwYgWXZo', 'yhB9D06_ef4', 'vPtH42Lnt_Y', 'Xl4NPXpfifk', 'JvEas_zZ4fM', 'Lmbx3kpOS9k', 'cdt1sJQptnc', 'MGsocbZ9q9g', '3kEpZWGgJks']",Italy Records Deadliest Day Of COVID-19 Outbreak | Morning Joe | MSNBC,201641
Fox News,1,4309,1199,6FVJlNdr0ho,[],50691,0.50629973474801,3,2017-10-19,"['3gjPFelN1vY', 'Az33CK79b_Q', 'zUqDHgVCdgE', 'kBuZaZapH7A', 'lF8ARkDBp7Y', 'n72HNgvvWK8', 'gJYxz4prbTU', 'NXV4ABRnAbU', 'BWO6i8cH8SA', '6i1tUY7Z-bI', '-JpCqStOG0E', 'CQELHJx8Vf0', 'c09m5f7Gnic', '4qm_6TXnWhM', '4gIM23dVqM0', 'yhB9D06_ef4', 'BSCiT6OeL2A', 'Pg0XXhkt0gw', 'FsPsfrkZxiE', 'dmHVLp08YaQ']",Hannity: Rep. Frederica Wilson is a national disgrace,4849871
DoctorOz,1,60,289,1OAGU-O8ysc,[],1817,0.33753315649867305,2,2020-03-18,"['ChT4UBDxLv8', '9QZLhR__HVQ', '2KmFbVfwZQU', '3eCZ8haia58', 'OOJqHPfG7pA', '5CRxyHU9Oxo', 't7LECozPzPY', 'Y7nZ4mw4mXw', 'l457_dc_UBQ', '6Af6b_wyiwI', '9619qaAjLq4', 'dSQztKXR6k0', 'C1sbp5oyVh4', 'LVgzOyHVcj4', 'Af2ygn68Pi4', 'NiQKvfo3l94', '1-VHxNEf18w', 'I5-dI74zxPg', 'yDWJtSsTnNM', 'cCPbEQ84hdQ']",Why Are Some People Dying From Coronavirus and Others Aren't?,66426
Bloomberg Markets and Finance,1,65,2888,p-uBOXzh394,[],1246,0.33753315649867305,2,2017-08-09,"['HbQqs0U_5qs', 'akIpf0iva3Q', 'UqTAkYt82xc', '7kThTbLUQdU', 'GD3IodWyGME', 'f3NBQcAqyu4', '5ir1hhpkwbo', '_d0hfsfp4Yg', 'u8ANHNU0Fng', 'zPclQ5GLQFM', 'vvxmacn11dg', 'tQR5G3kvfNQ', 'mhvw0Jrevqk', 'MrAMFKKwEbI', '2ZfGBGmEpRQ', '_vrrfRnqqus', 'BgYQj4gVkWQ', 'htPQrCBLBaQ', 'IhV4es7muQk', 'e0E0U-9XOt8']",The David Rubenstein Show: Clinton and Bush,135356
