channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
DW Documentary,1,409,2546,euxt0argojI,['1iif'],4175,0.19307733910221703,3,2020-03-26,"['RAAMPiF_BSg', 'NXaVLXSZdEw', 'CVuVlk2E_e4', 'w0Wmc8C0Eq0', 'pNDJSp8FCjI', 'AYQ8hT8cVTE', '7IWWAIS-tE4', 'JHDkALRz5Rk', 'dMVq4jj1QtE', '9aUbSHbSi-k', 'StjIv33zJ9c', 'sJ3fG-tnzCk', 'RVVfJVj5z8s', 'm1Yba1-ijh4', '9FaOKNpAiIM', 'E2zrqzvtWio', 'XHZKT6y-Zrg', 'Alusg5KG714', 'FbY0VpyjtuI', 'GEHOlmcJAEk']",Putin's pride: Cossacks and the church | DW Documentary,368
Joy Music - Jazz Taiwan,1,73,9797,c-L_j9Kws0M,['1djj'],2150,0.064359113034072,1,2020-03-02,"['dI3toQVr9e8', 'YCP5xPvnaq0', '3FcO5fW_WJ4', 'wFMz-AZjaBI', 'siDMW_kB7Qc', 'lR7icNffxXE', 'ZBS4F-7HNUw', 'PErqizZqLjI', 'zR788elwNPk', 'm_WuYnepNY8', 'Y-JQ-RCyPpQ', 'J31A8Eo4SP4', '74iHoCM83Mg', '-t0FQFxwxYc', 'ScafloKbrms', 'SPoe8aVoWRg', 's49CT4DTAkw', '48fbdSscra8', 'X0QkQRphQIA']",Starbucks Music || 爵士樂在咖啡館! ☕ 爵士音樂的一個好工作日 - 爵士音樂，早上好，醒來，綻放光芒,398
Herramientas para Vivir,1,403,1790,MlxrwiqxrQA,"['1ejg', '1heg', '1jjg']",10,0.836668469442942,13,2020-01-06,"['-qOiUcZcYhE', '7wC6uVUvbLE', 'fQFyPVOiJC4', 'zDovHUeUNNI', 'G3jGD7Oir98', 'uGJpd6YMTXM', 'SxDtcLhjk5A', 'SMqUDGVoUr4', 'J2D2IM-GKU0', 'gtTqSqbIJto', 'Mv6wWqVGY-s', 'MSllhtMCUXA', 'Z0-jTY6qWWA', 'KRXHgmwCD40', '_JepmHRKPF0', 'HbTcQ24CYbk', 'CW0aq2pBLXo', 'J-JSmHCJDQE', '8wmjTK7laDE', 'svkmoJegcFQ']",Herramientas Para Vivir - 06-01-2020 - Matías De Stefano,384
DW Documental,1,1660,2591,vCAzzhOg-xk,['1bjb'],59,0.38615467820443405,6,2020-03-02,"['xiGzNNjHJa4', 'e_Snu0jwcNc', 'SWRHxh6XepM', 'HbxPW3VMFos', 'nxERPrmwsdI', '4ebt-yHf3mY', 'V-aAOfhV5O8', 'fiuu3NZM6yQ', 'FEdeaBjOYFs', 'wLuTE_qcNKg', 'l1k8K8d62qc', 'sHVwwriaT6k', 'G3jGD7Oir98', 'kuvOiBdOnjY', 'WrYEGnE6AQA', 'c7z7zPQpl5s', '6_OFXBK37gs', 'rZgsuhLd78I', '7YQE3M1w9UY', 'ldKmJdUNqsQ']",Nuestro cerebro es lo que comemos | DW Documental,3
Chema Alonso,1,297,2436,PfM6xXkB78M,['1igd'],6966,0.643591130340724,10,2019-06-13,"['-B3jzIW7hks', '_PsB2e0U5FU', 'sZOGa4ZHFfA', 'EtSN8GGBwsM', '1F7RUeHFifg', 'qEfBUbgAEZ4', 'DbqkBAjId_U', 'V33U1OsFVnQ', 'Fj9TwMTxGuc', 'jTdmPC9Bpk0', 'hpF7LhMXu5I', 'bogSDk_fEE4', '2ijIhazlseE', 'BbA5dpS4CcI', 'ZlCVKar_LFQ', 'jWZGwwKmXfY', 'gwEq0-ACUr8', 'RDahZ8VFjpo', 'Ce8Jcrb7yOo']",[2019]  Big Data & AI for Bad Guys,320
The Late Show with Stephen Colbert,1,1482,794,c_KeluilBcs,"['1afi', '1ceb', '1edi', '1jhd']",40,2.896160086533261,45,2020-04-22,"['PxDK95Q5qN0', 'D9l1M_6MNxw', 'B8IC3kpk7SY', '_T6fFQTrGN0', 'wFKkVvUgUUk', '0xqZaqf_1BM', 'Nbmr_eM2DnQ', '2vMojjJ1GAg', 'g6iDZspbRMg', '7P_stDcFjAM', 'jyOnfK_UMV4', 'dNiuaKKEPu8', 'dRFbwjwQ4VE', 'hIv7YJ0UrlM', 'r2xPTP5hr6o', 'gOFtYpYtJZI', 'Qtg0cB-ToKE', 'aeT3YOYsvMs', 'UPYlE72OzZA', 'YfHm3TD_7Jk']","President Trump, You're Going To Have To Do The Unthinkable: Your Job",2
La Resistencia en Movistar+,1,3630,1384,xjtMRIS51yk,"['1gcf', '1gga']",108,0.45051379123850704,7,2018-06-26,"['w2lIBQXU7do', 'mkvjOwd3A-I', 'm2Japz0oJek', '8ZPLEx52FLU', 'efJUYhjkFLI', 'NcXEssY1bAU', 'M_zUCawOYbc', 'bqWfNPCqaX4', 'mwRSI1kS6So', 'QBgg2cuomfs', 'vpKIMyRzTAw', '8emUM2lEngo', 'AKfi2kZyNow', 'teAGAJzPvoY', 'Z0GcXkkgyAM', 'GGXIR6uzXJM', 'TnijhEMItQg', 'xABVfyTz9lQ', 'eIBKkUvXWv8', 'C-qb0RlOb4c']",LA RESISTENCIA - Entrevista a Becky G | #LaResistencia 26.06.2018,6
Isiajno,1,935,12915,-7jjo8UICjQ,"['1dag', '1dee']",62,0.5792320173066521,9,2018-02-23,"['I0kVNMHo6fQ', 'hSnD30bcAS8', 'D3qrt0EgVd8', 'MWgQXlSQ7Dk', 'ZKFwQFBwQFU', '-gDinVAmtA0', 'KjGcpAZHAHw', '5gfIDSreaV0', '9uKVI6_Fm4g', 'VB6SIKl8Md0', 'Jn09UdSb3aA', 'FPaByTt1Yws', 'AGfBTRkN0y0', '_ioc6sdgugo', 'JJwecS3kNCM', 'Px8e2A18YmE', 'd_6D6qFGyKA', 'mVju10GtMXI', 'weQz5tGEKwE']",Most Iconic Classical Music Masterpieces Everyone Knows in One Single Video,4
BRMúsica em português,1,5763,7177,Gux1xOCrgA4,['1dia'],93,0.19307733910221703,3,2015-02-02,"['_E1iSMg58R4', 'MWgQXlSQ7Dk', '1USwLAqHU_8', 'Gw11f2hMKWA', 'ZKFwQFBwQFU', '1DpfzZ3UdN0', 'j3pdNPYRvwk', 'PJL_mVgT0Ao', 'DUGbROP9EU4', 'acQS2Fef8tU', 'JJwecS3kNCM', 'jYnllpLJqYc', 'UVuYEX0mZ0M', 'iUohO2MSot8', 'ot2hqe_iYkQ', '-EChFA_-zFE', 'gQIvShTKAJA', 'T_Dy9OvgjHY', '-gDinVAmtA0']","MUSICA Clássica para ESTUDAR, Trabalhar, Mozart Beethoven, Descontrair Parte/1",10
Reggae Music Synthesis,1,712,8591,JPctC3HNLwM,['1dha'],7277,0.128718226068144,2,2019-12-19,"['vxqec-My_YU', 'Bdy7XhDbzxI', 'GTYJvWUHIec', 'sc2ysHjSaXU', 'e8WeKuGagtM', 'A0QkGThnKNQ', 'lDeTnqNn8ME', 'bfDwDSvu0ko', 'HrM-Xhb-kXM', '6dxzsTv4HqM', 'nB_42wl2NV0', '_V35I6IqQO0', 'd_6D6qFGyKA', 'xGdWsC7SRsg', 'PxaMegcmrNU', 'fm4MS7S5hwk', 'z9WOP3edtd4', '6Vs1stjhYl0', 'lePEzamdFXM']",Bob Marley Greatest Hits Reggae Song 2019 - Top 20 Best Song Bob Marley,1
