channel,depth,dislikes,duration,id,key,likes,mult,nb_recommendations,pubdate,recommendations,title,views
Indeepsilence,1,-1,1501,gOXTdFbjtSg,['2baded'],-1,0.322789174280296,5,2016-08-01,"['OY1xB2qFoYY', 'X4J7Z3kqKLQ', 'XEfDYMngJeE', 'CiXNIjGX1hY', 'sc2ysHjSaXU', 'A0QkGThnKNQ', 'hokGXqEsCXk', 'Nnu1E5Kslig', 'vFNpNmIAp_M', 'aZT_OxPRmSw', 'aQ1fdwqTVK0', '8yBxs8BiDvU', 'cWGE9Gi0bB0', 'V8oaxsHC0fs', 'IQci9HaP-lA', '3MkKDqUWWu8', '2K7TU1Hh_3U', 'NFN2Wot7VSo', 'vqUuH2ka-xk']",Pink Floyd - Shine On You Crazy Diamond I-IX,14
AgustinKnopfler,1,318,852,5LS7ZKn5TyQ,"['2badac', '2badea', '2bdada']",9999,0.5164626788484741,8,2019-06-20,"['Cg4S_zeSJw4', 'Q1Wp2ASqyxI', 'fm4MS7S5hwk', '2K7TU1Hh_3U', 'xF_gCy-4y3w', 'aQ1fdwqTVK0', 'vqUuH2ka-xk', '_4E7LoI5mBY', 'sc2ysHjSaXU', 'PxaMegcmrNU', 'ECDzoRJHfdA', 'fLYeVk9Sk60', 'XEIZcokwxfQ', 'xTBKJIrPZJ8', 'SgXSomPE_FY', 'LuLH-Br7g0Q', 'Z3_HTGdLXL4', 'rfjZcLfPt8Y', '6CB9OrGZ7-c']",Mark Knopfler-Telegraph Road-Córdoba 2019,1
Dr. Veller,1,12,1286,cO3ZTxmDNlI,"['2accad', '2dccad']",793,1.355714531977245,21,2019-08-18,"['gxd2X86n61o', 'o59Xsbo3-ok', 'tygI_Aw7i8I', 'KpQ0zHZ8yn0', 'Uep7VII-hYE', 'Kbqtxoajf7Q', 'QzIpvO0COIw', 'EL9lWBuhMOQ', 'BBBI4zQwcGE', 'T5rUMB4ig-o', 'LHHPByuC-9Y', '7Ip-p6d1XE8', '3N854EfXQqU', 'hFRhBJ7EDeo', 'UIJCuWvarDY', 'pgiwC_HIYKw', '8sk4bNw4J0c', 'rB1DadkD0RE', 'V3WY2dEonsM', 'hgdBrxJBBoI']",Sistema Renina Angiotensina,22
Kurzgesagt – In a Nutshell,1,4364,701,WSKi8HfcxEk,['2deeea'],295,0.193673504568177,3,2017-06-08,"['kl39KHS07Xc', 'DHyUYg8X31c', 'jAhjPd4uNFY', 'tlTKTTt47WE', 'yS1ibDImAYU', 'kP15q815Saw', 'JhHMJCUmq28', 'oakWgLqCwUc', 'NbuUW9i-mHs', '7_e0CA_nhaE', 'H6u0VBqNBQ8', 'zBkVCpbNnkU', 'BtN-goy9VOY', 'sNhhvQGsMEc', '8PmM6SUn7Es', 'MBRqu0YOH14', 'WPPPFqsECz0', 'dGiQaabX3_o', 'czgOWmtGVGs', 'FfgT6zx4k3Q']",El alzamiento de las máquinas - ¿Por qué la automatización es diferente esta vez?,8
VPRO Documental,1,43,2799,WBFoV6jn79c,['2adddb'],1088,0.193673504568177,3,2019-03-01,"['NdZxI3nFVJs', 'hIXhnWUmMvw', 'np_ylvc8Zj8', '8zKuoqZLyKg', 'NFF_wj5jmiQ', 't6m49vNjEGs', 'Zk11vI-7czE', 'kFQJNeQDDHA', 'd4o13isDdfY', 'tQd_5as_cMY', 'p5Ac7ap_MAY', 'XUwLAvfBCzw', 'zQCTeGKHsVc', 'AFIxi7BiScI', 'oRQLilXLAIU', 'YQy0ZCx3UCY', '2eqV_F0r05k', 'OC_Y1ZTZXQ4', '5dZ_lvDgevk']","Desconexión, un lujo - VPRO documentál",64
EduSalud,1,69,5814,97pmhy4ypzg,['2decda'],1682,0.645578348560593,10,2018-10-19,"['SKaekl8vMdw', 'ygqkER51hkk', 'QTN5wOE3ufY', '334vgXZ9U-U', 'nOZSvaQUvg4', 'ydkfFKvzh60', 'F76mL4rcpLA', '8tHdS5juE6w', 'XAKU6z-k5xs', 'qPyoj7i9Xao', '1ZCZTzacv7w', 'MU0pbgkq2-s', 'jWWWNUaE0R0', 'Txxit6Z5V4k', 'g4Y-7dYnci8', 'jROzkKtMUas', '6gFxizKkHE8', '8dCq3JkdNBw', '5pImaLQTFYI', 'soy4qjdcNY8']",Tejido linfático | Histología,81
The Royal Institution,1,1736,4942,0g8lANs6zpQ,['2deeed'],47,0.193673504568177,3,2014-06-04,"['Na7Bp4frYGw', 'ti_E2ZKZpC4', '1wAaI_6b9JE', '0T--WC4D1C0', '658xlubwnDc', 'zNVQfWC_evg', 'HESOat2iPzU', 'o3cqZ5kqEB4', 'OYZT3opLedc', 'hcGgaa2mFc4', 'xRel1JKOEbI', '6JwEYamjXpA', 'UDY5COg2P2c', 'IwJzsE8CvzQ', 'bOuEJf8Dr_4', 'rU_pfCtSWF4', 'kR1uqxeXxSU', 'IF4UhElRUFg', 'ckSoDW2-wrc']",La magia de la química - con Andrew Szydlo,3
Chris Isaak,1,387,176,22T65YR63L0,"['2aabac', '2baaac', '2babbe', '2bac', '2bacbc', '2bdbec', '2bdcac', '2dabac', '2eabac']",5122,1.032925357696948,16,2016-06-09,"['aid2vMbCNP8', 'dadgyrC_038', 'OEFa4ztm9P0', 'cF3OWCYLLVQ', 'vVlXNyHxMjw', 'SKj06CHbfs4', '791z7Nb985Y', 'tcHBRMg2JN4', '81qlHkW8vWU', 'e7ZiRxd5T6o', 'PCdOkwBtLR4', 'nCXL1NScwoQ', 'mbT8qXPJ4DA', 'MqvBdHQmJTg', 'cCCQu5ozxuM', 'mOjTweUPt3Q', 'yCGFfz7LfDQ', 'ZHHEmd5mECY', 'XX6AYOfABBI']","Baby Did a Bad, Bad Thing",263
Chris Isaak,1,5940,290,G9KG7_Jd4WE,"['2aaaab', '2aab', '2aabaa', '2aabdc', '2aadab', '2aaeab', '2abab', '2abbab', '2b', '2baa', '2baaaa', '2baadc', '2babad', '2babe', '2bacba', '2bdaba', '2bdbde', '2bdbea', '2bdc', '2bdcaa', '2bdcdc', '2bddbe', '2daaab', '2dab', '2dabaa', '2dabdc', '2dadab', '2daeab', '2dbab', '2dbbab', '2eaaab', '2eab', '2eabaa', '2eabdc', '2eadab', '2eaeab', '2ebab', '2ebbab', '2edab', '2edbab', '2eeaab']",76,6.197552146181692,96,2016-04-07,"['dadgyrC_038', 'xSZBIs0gs0E', '791z7Nb985Y', 'gdHICpVvlUc', 'pPwgmjjfqOU', 'lTPf00VMnJo', 'avv2IIdDnnk', 'ojvldIzbaMo', 'yGxHDmHoqXc', 'aNYSlJZewKw', 'jd-qI62gNJM', 'e7ZiRxd5T6o', 'DHRyPjXeKZ4', '4hzMRVY71hk', 'dOjFcx3GJHg', 'gFRWbugvySM', 'PIzPCybpxS4', 'mOjTweUPt3Q', 'OEFa4ztm9P0']",Wicked Game,4
Phil Collins,1,1140,276,NxuvOqFrpYg,['2beeac'],11,0.12911566971211802,2,2016-06-09,"['4EnN-jwdhtY', 'DffbA1ITSEE', 'u9KOaLriy_w', 'lV0kNKljZd0', 'jbg944FKtuU', 'QVgqKIpMdoU', 'HFjkySrueys', 'Y-vj8V522OQ', 'v6Y4CRMx21g', 'ODheoEQnYSU', 'f7XXsibwCgw', 'vyB5pG0Wo7M', 'xQpsXA36uq4', '2Z9BuEMnSZU', '8_Xs8nzrrkM', 'ZLCG6DJTNBs', 'kPQE6bURNF0', 'Hg7Oh_FZyss', 'MW7U3_VqyQE']",Do You Remember? (2016 Remastered),882
