pubdate,views,dislikes,likes,duration,id,mult,title,nb_recommendations,depth,channel,key
2020-04-21,289,164,9950,1113,NM2A2xNLWR4,3.292449577659024,"Coronavirus Pandemic Update 59: Dr. Seheult's Daily Regimen (Vitamin D, C, Zinc, Quercetin, NAC)",51,1,MedCram - Medical Lectures Explained CLEARLY,2aadae
2020-04-27,221,122,13,1021,22Bn8jsGI54,8.650749870711946,Coronavirus Pandemic Update 61: Blood Clots & Strokes in COVID-19; ACE-2 Receptor; Oxidative Stress,134,1,MedCram - Medical Lectures Explained CLEARLY,2aadb
2020-04-29,92,70,5056,1588,Aj2vB_VITXQ,8.521634200999827,Coronavirus Pandemic Update 63: Is COVID-19 a Disease of the Endothelium (Blood Vessels and Clots)?,132,1,MedCram - Medical Lectures Explained CLEARLY,2aadba
2020-04-28,129,76,4861,660,DtPwfihjyrY,8.26340286157559,Coronavirus Pandemic Update 62: Treatment with Famotidine (Pepcid)?,128,1,MedCram - Medical Lectures Explained CLEARLY,2aadbb
2020-04-21,193,142,8015,1489,tygI_Aw7i8I,24.467419410446475,COVID19  Y RESPUESTA INMUNE TROMBÓTICA,379,1,Dr. Veller,2aadbc
2020-01-25,377,175,6487,3969,lj3NhPgOoX4,5.874762971901396,Virology Lectures 2020 #1: What is a Virus?,91,1,Vincent Racaniello,2aadbd
2019-02-01,2,1928,30,3607,MU0pbgkq2-s,24.14463023616618,INTRODUCCIÓN A LA NUTRICIÓN ANTIINFLAMATORIA,374,1,Escuela de Salud Integrativa,2aadbe
2020-04-21,193,142,8015,1489,tygI_Aw7i8I,24.467419410446475,COVID19  Y RESPUESTA INMUNE TROMBÓTICA,379,1,Dr. Veller,2aadc
2020-04-12,122,105,2795,2429,UIJCuWvarDY,10.393811411825547,COVID 19 CORONAVIRUS TRATAMIENTO PARTE 1,161,1,Dr. Veller,2aadca
2013-10-14,854,533,16,1637,8ZGyqViOUsc,9.425443888984658,"Nutrición alcalinizante y dolor de espalda, muscular y articular",146,1,FisioOnline,2aadcb
2020-04-29,2173,2,164,1941,T2IQWr0568g,8.198845026719532,TUBULOS Y GLOMÉRULO FISIOPATOLOGIA,127,1,Dr. Veller,2aadcc
