pubdate,views,dislikes,likes,key,duration,id,mult,title,nb_recommendations,depth,recommendations,channel
,-1,-1,-1,['1bc'],-1,kybenSq0KPo,1.522058823529411,,3,2,[],
2013-09-06,1104513,588,16518,['1bac'],1455,i-T7tCMUDXU,0.50735294117647,The Fourth Phase of Water: Dr. Gerald Pollack at TEDxGuelphU,1,1,"['p9UC0chfXcg', 'aSz5BjExs9o', 'hPM1l93mGZw', '1w0_kazbb_U', 'hqKafI7Amd8', 'gn4bvjMh4vc', 'MptrypvBTag', 'd0yGdNEWdn0', 'InNArv2h4m0', 'GkLlqobr3PY', 'VNGFep6rncY', 'vuIlsN32WaE', 'rPh3c8Sa37M', '-wkdH_wluhw', '41TPZWAgPoM', 'esPRsT-lmw8', '_HytJn6uaRk', 'LWQfe__fNbs', 'qEbdv3bFKww', 'vVsXO9brK7M']",TEDx Talks
2019-02-06,1942681,1018,81641,['1dbc'],991,ZQ--scjcAZ4,0.50735294117647,Are Negative Ions Good For You?,1,1,"['dg3pza4y2ws', 'rjDX5ItsOnQ', 'S1tFT4smd6E', '42QuXLucH3Q', 'dCXkaQa53QQ', 'QRt7LjqJ45k', '97t7Xj_iBv0', 'SmSJXC6_qQ8', 'CNodxp9Jy4A', '1VPfZ_XzisU', 'K-Fc08X56R0', '38gVZgE39K8', 'eUzB0L0mSCI', 'Yl_K2Ata6XY', 'aKwJayXTZUs', 'wU5XkhUGzBs', 'AeJ9q45PfD0', 'myh94hpFmJY', 'qP-2hMNnhgY', 'TIe2oerd25c']",Veritasium
2016-09-29,3130672,1389,79192,['1dab'],2270,wxL4ElboiuA,2.029411764705882,The Art of Making a Nixie Tube,4,1,"['QyBYM-x77Dg', 'GQgxc3d1T20', 'xeeoj0g3h3I', 'Y0h0T2cQvDE', '19duYMdiXi0', '1nHkhJ52iA4', 'sb-pynoqPmU', 'PhMXnSbqjAc', 'HVgPM1ojyLw', 'sAeXskZHC2o', 'xONq60H4yYQ', 'JWPxP2uuCJ4', 'Rhc_Kkc-vMY', 'a19OpQfwB2w', 'Dd72TYVFbo8', '3PwAQZNLy0I', 'GtKIkkLkrwU', 'GCO0YUp3ZGg', 'rMS04EFMs-s']",Dalibor Farný
2015-11-26,1581731,1003,26160,['1cba'],1639,wAGdinXZjSc,1.014705882352941,Alan Watts - Outwitting the Devil,2,1,"['LlAQaakSEzE', 'aLg4AV60uWY', 'UygnXqoKrC4', 'v7KQsS2kLM4', '3MNQXhA-Pso', 'rc9fW7JgD2E', 'voIovM07_JI', 'OAFH_nwqSHQ', 'wqEsTPaUZF0', 'Af85afJIeBo', '1Dg7VlvvM88', 'O219t16U4Qg', '8pcLuwxhhkk', 'kyEjDt_-Ee0', 'WbWI6Wj9xDI', 'G79EHVjLgwU', 'jPpUNAFHgxM', 'bQxqIKTO2Ck', 's42V8BGBvTk', 'kl1fytRAMRE']",Ambient Life
2019-12-11,2224268,3167,75299,['1dd'],672,klXj198vY4A,1.522058823529411,"""It Will Be The End Of Energy Companies"" | The FORBIDDEN Technology of Nikola Tesla",3,2,"['I1IDC8FEIBU', 'zR3Igc3Rhfg', 'azq0S0DKS50', 'OI_HFnNTfyU', '-_hDVwygQ4s', 'mBL9pS6GMdA', 'snw0FHcExnM', 'uD4izuDMUQA', 'HJ2x-4ZV-Pg', 'giQ8xEWjnBs', 'ecni9SjkWoM', 'Rh898Yr5YZ8', 'DKKj6fpT59M', 'lMJr-oUYYDA', 'Ft1waA3p2_w', 'w0ztlIAYTCU', 'v7KQsS2kLM4', 'evTPGbPLQGA', 'sNhhvQGsMEc', 'xPmUjobCfhE']",Be Inspired
2017-12-20,1933132,3244,58341,['1bdb'],1231,SSH5EY-W5oM,0.50735294117647,My descent into America's neo-Nazi movement & how I got out | Christian Picciolini | TEDxMileHigh,1,1,"['Mo_mgcxGYYE', 'ORp3q1Oaezw', '6qkSMkiGWdg', 'luvthTjC0OI', 'rP01bH9Ljf4', 'Aq4g-Bv2_Gk', 'hqKafI7Amd8', 'btF6nKHo2i0', 'bb04xj7LS34', '-U4Cq-dgNnw', 'H02YcexnEqc', '3WMuzhQXJoY', 'FdHJw0veVNY', 'B0Y-GU3JqiQ', 'IV5jbi7otx0', 'M7hOpT0lPGI', '8s3bdVxuFBs', 'qS7mBbXxJYA', 'UUnRKf2CemA', 'VNGFep6rncY']",TEDx Talks
2019-03-01,65549,43,1118,['1abc'],2799,WBFoV6jn79c,0.50735294117647,Vivons déconnectés! - VPRO Documentaire,1,1,"['NdZxI3nFVJs', 'hIXhnWUmMvw', 't6m49vNjEGs', 'NFF_wj5jmiQ', '8zKuoqZLyKg', '2eqV_F0r05k', 'd4o13isDdfY', 'oRQLilXLAIU', 'kFQJNeQDDHA', 'tQd_5as_cMY', 'YQy0ZCx3UCY', 'AFIxi7BiScI', 'zKkJB8Etq54', 'ed2FWNWwE3I', 'XUwLAvfBCzw', 'ZFJUYS6wY7U', 'IDgDWbQtlKI', 'ouXk3e7G0nQ', 'O90PShJVu58']",Vpro Documentaire
2018-07-10,1111823,2057,58205,['1cdc'],550,eOUWgtbIhgE,1.014705882352941,La guerre contre la conscience - Graham Hancock,2,1,"['lyu7v7nWzfo', 'xvzZ56ZbWy8', '8ZplWWVUyH8', 'hZeoyYOYgg4', 'OsAd4HGJS4o', 'arj7oStGLkU', 'Nxn2LlBJDl0', 'SgOTaXhbqPQ', 'y50i1bI2uN4', 'qjfaoe847qQ', 'QgEqQAIpLoo', '1TerTgDEgUE', 'lo0X2ZdElQ4', 'hBl0cwyn5GY', 'eKcvth7okXQ', 'XI5frPV58tY', 'vqCOss4hqnE', 'Ft1waA3p2_w', 'MzubNgsQsog', 'ZyfE3IvDWR8']",After Skool
2019-08-06,1952346,2213,78391,['1cdd'],621,xvzZ56ZbWy8,1.014705882352941,THOTH's PROPHECY read from the Hermetic Texts by Graham Hancock,2,1,"['Ft1waA3p2_w', 'eOUWgtbIhgE', 'iBF0hP2_nGw', 'zQCTeGKHsVc', 'aDejwCGdUV8', 'OsAd4HGJS4o', 'Rxmw9eizOAo', 'slSLLJbeo3Y', '9mozmHgg9Sk', 'jM4XZykIiGs', 'PfYYraMgiBA', '75J_zb6f19c', 'nQ83XWLKz7c', 'Mynr7uik5-0', '9mK93gHFWXs', '-XagZt80bTs', 'mBL9pS6GMdA', '1QtEF0lucr4', 'hZeoyYOYgg4', '2DIl3Hfh9tY']",After Skool
,-1,-1,-1,['1cc'],-1,4-079YIasck,0.50735294117647,,1,2,[],
